title,year,actors,genres,network,episodes
Beautiful Gong Shim,2016,"Namkoong Min,Bang Min-ah,On Joo-wan,Seo Hyo-rim","Romance,Comedy",SBS,20
Beautiful Days,2001,"Lee Byung-hun,Choi Ji-woo,Ryu Si-won,Lee Jung-hyun","Romance,Drama",Seoul Broadcasting System,24
"Be Strong, Geum-soon!",2005,"Han Hye-jin,Kang Ji-hwan","Drama,Romance,Comedy,Family",Munhwa Broadcasting Corporation,163
Be Positive,2016,"Do Kyung-soo,Chae Seo-jin,Lee David","Web series,Drama,Romantic comedy",Naver TV Cast,6
Beating Again,2015,"Jung Kyung-ho,Kim So-yeon,Yoon Hyun-min","Romance,Comedy,Drama",jTBC,16
Be My Dream Family,2021,"Choi Jung-woo,Park Joon-geum,Wang Ji-hye,Hahm Eun-jung,Joo Ah-reum","Drama,Comedy,Family,Soundtrack",KBS1,120
Be Melodramatic,2019,"Chun Woo-hee,Jeon Yeo-been,Han Ji-eun,Ahn Jae-hong,Gong Myung","Romantic comedy,Soundtrack",,16
Basketball,2013,"Do Ji-han,Lee Elijah,Jung Dong-hyun","Period drama,Romance,Sports",tvN,18
Bargain,2022,"Jin Seon-kyu,Jeon Jong-seo,Chang Ryul","Drama,Thriller",TVING,6
"Bad Woman, Good Woman",2007,"Choi Jin-sil,Lee Jae-ryong,Sung Hyun-ah,Jeon No-min","Romance,Drama",Munhwa Broadcasting Corporation,176
"Bad Thief, Good Thief",2017,"Ji Hyun-woo,Seohyun,Kim Ji-hoon,Lim Ju-eun","Procedural,Drama",MBC TV,50
Bad Housewife,2005,"Son Chang-min,Shin Ae-ra,Yuko Fueki","Comedy drama,Family drama",Seoul Broadcasting System,18
Bad Guy,2010,"Kim Nam-gil,Han Ga-in,Kim Jae-wook,Oh Yeon-soo,Jung So-min",Melodrama,Seoul Broadcasting System,17
Bad Guys,2014,"Kim Sang-joong,Park Hae-jin,Ma Dong-seok,Jo Dong-hyuk,Kang Ye-won","Police procedural,Crime,Thriller,Action",OCN,11
Bad Family,2006,"Kim Myung-min,Nam Sang-mi,Im Hyun-sik,Yeo Woon-kay,Kang Nam-gil,Geum Bo-ra,Kim Hee-chul,Lee Young-yoo","Comedy,Drama",Seoul Broadcasting System,16
Babysitter,2016,"Cho Yeo-jeong,Kim Min-jun,Shin Yoon-joo,Lee Seung-joon","Mystery,Thriller,Suspense",KBS2,4
Backstreet Rookie,2020,"Ji Chang-wook,Kim Yoo-jung","Romantic comedy,Slice of Life",SBS TV,16
Baby Faced Beauty,2011,"Jang Na-ra,Choi Daniel,Ryu Jin,Kim Min-seo","Romance,Comedy",Korean Broadcasting System,20
Babel,2019,"Park Si-hoo,Jang Hee-jin","Melodrama,Revenge,Soundtrack",TV Chosun,16
Avengers Social Club,2017,"Lee Yo-won,Ra Mi-ran,Myung Se-bin,Lee Jun-young","Drama,Comedy,Friendship",tvN,12
"At a Distance, Spring Is Green",2021,,"Slice-of-life,Coming of age,Soundtrack",KBS2,12
At Eighteen,2019,"Ong Seong-wu,Kim Hyang-gi,Shin Seung-ho,Kang Ki-young","Coming-of-age,Soundtrack",JTBC,16
Assembly,2015,"Jung Jae-young,Song Yoon-ah,Ok Taec-yeon",Political drama,KBS 2TV,20
Arang and the Magistrate,2012,"Lee Joon-gi,Shin Min-a,Yeon Woo-jin","Fantasy,Horror,Period drama,Romance",MBC,20
Angry Mom,2015,"Kim Hee-sun,Kim Yoo-jung,Ji Hyun-woo","Family,Drama,Teen,School Politics",MBC TV,16
Angel's Revenge,2014,"Yoon So-yi,Park Jung-chul,Moon Bo-ryung,Kwon Yul","Melodrama,Romance,Family",KBS,103
Angel's Choice,2012,"Choi Jung-yoon,Yoon Hee-seok,Jung Sung-woon,Go Na-eun","Melodrama,Romance,Family",MBC TV,140
Angel Eyes,2014,"Lee Sang-yoon,Koo Hye-sun","Melodrama,Medical,Romance,Family",SBS TV,20
Anna,2022,"Bae Suzy,Jung Eun-chae,Kim Jun-han,Park Ye-young",Psychological thriller,,6
Amor Fati,2021,"Choi Jung-yoon,Ahn Jae-mo,Bae Seul-ki,Yoon Mi-ra","Romance,Melodrama,Soundtrack",SBS TV,120
Amanza,2020,"Ji Soo,Lee Seol,Oh Hyun-kyung,Yoo Seung-mok,Lee Jong-won","Drama,Fantasy",KakaoTV,10
Alone in Love,2006,"Kam Woo-sung,Son Ye-jin,Gong Hyung-jin,Lee Ha-na","Romance,Melodrama",SBS TV,16
All In,2003,"Lee Byung-hun,Song Hye-kyo,Ji Sung,Park Sol-mi","Action,Romance,Drama",SBS TV,24
All About My Romance,2013,"Shin Ha-kyun,Lee Min-jung,Park Hee-soon,Han Chae-ah","Romantic comedy,Political",SBS TV,16
All About Eve,2000,"Jang Dong-gun,Chae Rim,Han Jae-suk,Kim So-yeon","Drama,Romance",MBC TV,20
Alice,2020,"Kim Hee-sun,Joo Won","Science fiction,Romance",SBS TV,16
Air City,2007,"Lee Jung-jae,Choi Ji-woo,Lee Jin-wook,Moon Jung-hee","Romance,Drama,Action",MBC TV,16
Aftermath,2014,"Kim Dong-jun,Joo Yeon-woo,Sun Joo-ah","Thriller,mystery,supernatural",Naver TV,11
"Aeja's Older Sister, Minja",2008,"Cha Hwa-yeon,Lee Eung-kyung","Family,Romance",SBS TV,256
Adult Trainee,2021,"Ryu Ui-hyun,Cho Mi-yeon,Jo Yoo-jung,Ryeoun,Kwon Young-eun,Kim Min-gi","Romantic comedy,Teen",,7
Abyss,2019,"Park Bo-young,Ahn Hyo-seop,Lee Sung-jae","Romantic comedy,Fantasy,Crime,Soundtrack",tvN,16
Ad Genius Lee Tae-baek,2013,"Jin Goo,Park Ha-sun,Jo Hyun-jae,Han Chae-young","Workplace drama,Romance",KBS2,16
About Time,2018,"Lee Sang-yoon,Lee Sung-kyung","Fantasy,Romance,Melodrama,Soundtrack",tvN,16
A Thousand Days' Promise,2011,"Soo Ae,Kim Rae-won","Romance,Melodrama",Seoul Broadcasting System,20
A-Teen,2018,"Shin Ye-eun,Lee Na-eun,Shin Seung-ho,Kim Dong-hee,Kim Su-hyun,Ryu Ui-hyun","Teen,Coming-of-age,Romance,Soundtrack",Naver TV Cast,24
A-Teen 2,2019,"Lee Na-eun,Choi Bo-min,Kim Dong-hee,Kang Min-ah,Kim Su-hyun,Ryu Ui-hyun,Shin Ye-eun,Shin Seung-ho","Coming-of-age,Soundtrack",Naver TV Cast,20
A Witch's Love,2014,"Uhm Jung-hwa,Park Seo-joon","Romance,Comedy",,16
A Tale of Two Sisters,2013,"Park Se-young,Lee Hae-in,Yoo Gun,Park Jae-jung","Drama,Romance,Family",KBS1,135
A Poem a Day,2018,"Lee Yu-bi,Lee Joon-hyuk,Jang Dong-yoon","Medical,Slice of life",,16
A Man Called God,2010,"Song Il-kook,Han Chae-young,Kim Min-jong,Han Go-eun,Yoo In-young","Action,Romance",MBC,24
A Love to Kill,2005,"Rain,Shin Min-a,Kim Sa-rang,Lee Ki-woo","Melodrama,Romance",KBS,16
A Hundred Year Legacy,2013,"Eugene,Lee Jung-jin",Romance,MBC TV,50
A Happy  Woman,2007,"Yoon Jung-hee,Kim Suk-hoon,Jung Gyu-woon","Romance, Drama",Korean Broadcasting System,58
A Girl Who Sees Smells,2015,"Park Yoo-chun,Shin Se-kyung,Namgoong Min,Yoon Jin-seo","Romance,Suspense,Fantasy",SBS TV,16
A Gentleman's Dignity,2012,"Jang Dong-gun,Kim Ha-neul,Kim Soo-ro,Kim Min-jong,Lee Jong-hyuk","Romance,Comedy,Drama",SBS,20
A Daughter Just Like You,2015,"Lee Soo-kyung,Kang Kyung-joon,Kim Hye-ok,Kil Yong-woo","Family drama,Romance",MBC,120
A Bird That Doesn't Sing,2015,"Oh Hyun-kyung,Hong Ah-reum,Kang Ji-sub,Kim Yu-seok,Baek Seung-hee,Ahn Jae-min","Revenge,Melodrama,Soap opera",,156
